name,type1,type2,ability1,ability2,hp,attack,defense,special_attack,special_defense,speed
abomasnow,Grass,Ice,SNOW_WARNING,NONE,90,95,90,95,100,60
abra,Psychic,Psychic,SYNCHRONIZE,INNER_FOCUS,25,20,15,105,55,90
absol,Dark,Dark,SHARPNESS,SUPER_LUCK,70,130,70,75,70,90
aerodactyl,Rock,Flying,ROCK_HEAD,MOLD_BREAKER,80,105,65,60,75,130
aggron,Steel,Rock,STURDY,ROCK_HEAD,70,110,180,60,60,50
aipom,Normal,Normal,TECHNICIAN,SKILL_LINK,55,70,55,40,55,85
alakazam,Psychic,Psychic,SYNCHRONIZE,INNER_FOCUS,55,50,45,135,85,120
altaria,Dragon,Fairy,LEVITATE,NONE,75,100,100,100,105,80
ambipom,Normal,Normal,TECHNICIAN,SKILL_LINK,75,105,70,60,70,115
ampharos,Electric,Dragon,STATIC,MOLD_BREAKER,100,75,85,120,90,55
anorith,Rock,Bug,BATTLE_ARMOR,NONE,45,95,50,40,50,75
arbok,Poison,Poison,INTIMIDATE,SHED_SKIN,80,105,80,65,80,90
arcanine,Fire,Fire,INTIMIDATE,NONE,90,110,80,100,80,95
arceus,Normal,Normal,MULTITYPE,NONE,120,120,120,120,120,120
ariados,Bug,Poison,SWARM,INSOMNIA,70,100,80,60,70,40
armaldo,Rock,Bug,BATTLE_ARMOR,NONE,75,125,100,70,80,45
aron,Steel,Rock,STURDY,ROCK_HEAD,50,70,100,40,40,30
articuno,Ice,Flying,KEEN_EYE,NONE,90,85,100,95,125,85
azelf,Psychic,Psychic,LEVITATE,NONE,75,125,70,125,70,115
azumarill,Water,Fairy,THICK_FAT,HUGE_POWER,100,55,80,100,80,50
azurill,Normal,Fairy,THICK_FAT,HUGE_POWER,50,20,40,20,40,20
bad_egg,Normal,Normal,NONE,NONE,10,10,10,10,10,10
bagon,Dragon,Dragon,ROCK_HEAD,NONE,45,75,60,40,30,50
baltoy,Ground,Psychic,LEVITATE,NONE,40,40,55,40,70,55
banette,Normal,Ghost,INSOMNIA,OBLIVIOUS,64,115,65,83,63,65
barboach,Water,Ground,OBLIVIOUS,OWN_TEMPO,50,48,43,46,41,60
bastiodon,Rock,Steel,STURDY,SOUNDPROOF,60,65,165,40,135,30
bayleef,Grass,Fairy,THICK_FAT,NONE,60,62,80,63,80,60
beautifly,Bug,Flying,TINTED_LENS,NONE,60,70,50,90,50,65
beedrill,Bug,Poison,ADAPTABILITY,NONE,70,100,40,45,80,100
beldum,Steel,Psychic,CLEAR_BODY,NONE,40,55,80,35,60,30
bellossom,Grass,Grass,CHLOROPHYLL,NONE,75,80,85,90,100,50
bellsprout,Grass,Poison,OVERGROW,GLUTTONY,50,75,35,70,30,40
bibarel,Normal,Water,SIMPLE,UNAWARE,80,90,60,60,60,75
bidoof,Normal,Normal,SIMPLE,UNAWARE,59,45,40,35,40,31
blastoise,Water,Water,MEGA_LAUNCHER,NONE,80,80,100,90,105,80
blaziken,Fire,Fighting,SPEED_BOOST,NONE,80,115,80,90,80,90
blissey,Normal,Normal,NATURAL_CURE,SERENE_GRACE,255,10,10,75,135,55
bonsly,Rock,Rock,STURDY,ROCK_HEAD,50,80,95,10,45,10
breloom,Grass,Fighting,TECHNICIAN,POISON_HEAL,60,130,80,60,60,70
bronzong,Steel,Psychic,LEVITATE,HEATPROOF,67,89,116,79,116,33
bronzor,Steel,Psychic,LEVITATE,HEATPROOF,57,24,86,24,86,23
budew,Grass,Poison,NATURAL_CURE,POISON_POINT,40,30,35,50,70,55
buizel,Water,Water,SWIFT_SWIM,NONE,55,65,35,60,30,85
bulbasaur,Grass,Poison,OVERGROW,NONE,45,49,49,65,65,45
buneary,Normal,Normal,RUN_AWAY,KLUTZ,55,66,44,44,56,85
burmy,Bug,Bug,SHED_SKIN,FILTER,40,29,45,29,45,36
butterfree,Bug,Flying,COMPOUND_EYES,NONE,60,45,50,90,80,70
cacnea,Grass,Grass,SAND_VEIL,SAND_VEIL,50,85,40,85,40,35
cacturne,Grass,Dark,SAND_VEIL,SKILL_LINK,90,115,60,60,80,55
camerupt,Fire,Ground,SOLID_ROCK,NONE,70,100,70,105,75,40
carnivine,Grass,Grass,LEVITATE,NONE,100,100,100,100,100,40
carvanha,Water,Dark,STRONG_JAW,SPEED_BOOST,45,90,20,65,20,65
cascoon,Bug,Bug,SHED_SKIN,NONE,50,35,55,25,25,15
castform,Normal,Normal,FORECAST,NONE,70,70,70,70,70,70
caterpie,Bug,Bug,SHIELD_DUST,NONE,45,30,35,20,20,45
celebi,Psychic,Grass,NATURAL_CURE,NONE,100,100,100,100,100,100
chansey,Normal,Normal,NATURAL_CURE,SERENE_GRACE,250,5,5,35,105,50
charizard,Fire,Flying,DROUGHT,NONE,78,84,78,110,85,100
charmander,Fire,Fire,BLAZE,NONE,39,52,43,60,50,65
charmeleon,Fire,Fire,BLAZE,NONE,58,64,58,80,65,80
chatot,Normal,Flying,ADAPTABILITY,NONE,80,65,45,90,45,90
cherrim,Grass,Grass,FLOWER_GIFT,NONE,70,60,70,100,90,85
cherubi,Grass,Grass,CHLOROPHYLL,NONE,45,35,45,62,53,35
chikorita,Grass,Grass,OVERGROW,NONE,45,49,65,49,65,45
chimchar,Fire,Fire,BLAZE,NONE,44,58,44,58,44,61
chimecho,Psychic,Psychic,LEVITATE,NONE,65,50,70,95,80,65
chinchou,Water,Electric,VOLT_ABSORB,WATER_ABSORB,75,38,38,56,56,67
chingling,Psychic,Psychic,LEVITATE,NONE,45,30,50,65,50,45
clamperl,Water,Water,SHELL_ARMOR,SHELL_ARMOR,35,65,85,75,55,35
claydol,Ground,Psychic,LEVITATE,NONE,60,70,105,70,120,75
clefable,Fairy,Fairy,CUTE_CHARM,MAGIC_GUARD,95,70,73,95,90,60
clefairy,Fairy,Fairy,CUTE_CHARM,MAGIC_GUARD,70,45,48,60,65,35
cleffa,Fairy,Fairy,CUTE_CHARM,MAGIC_GUARD,50,25,28,45,55,15
cloyster,Water,Ice,SHELL_ARMOR,SKILL_LINK,50,95,180,85,60,70
combee,Bug,Flying,IMMUNITY,NONE,30,30,42,30,42,70
combusken,Fire,Fighting,BLAZE,NONE,60,85,60,85,60,55
corphish,Water,Water,HYPER_CUTTER,SHELL_ARMOR,43,80,65,50,35,35
corsola,Water,Rock,NATURAL_CURE,NONE,55,55,85,65,85,35
cradily,Rock,Grass,SUCTION_CUPS,NONE,90,70,100,85,110,40
cranidos,Rock,Rock,MOLD_BREAKER,ROCK_HEAD,67,125,40,30,30,58
crawdaunt,Water,Dark,ADAPTABILITY,SHELL_ARMOR,63,120,85,90,55,55
cresselia,Psychic,Psychic,LEVITATE,NONE,120,70,120,75,130,85
croagunk,Poison,Fighting,DRY_SKIN,NONE,48,61,40,61,40,50
crobat,Poison,Flying,INNER_FOCUS,NONE,85,90,80,70,80,130
croconaw,Water,Water,TORRENT,STRONG_JAW,65,80,80,59,63,58
cubone,Ground,Ground,ROCK_HEAD,SKILL_LINK,50,50,95,40,50,35
cyndaquil,Fire,Fire,BLAZE,NONE,39,52,43,60,50,65
darkrai,Dark,Dark,BAD_DREAMS,NONE,70,90,90,135,90,125
delcatty,Normal,Normal,CUTE_CHARM,NORMALIZE,70,85,65,85,55,85
delibird,Ice,Flying,SNIPER,SUPER_LUCK,45,70,45,70,45,75
deoxys,Psychic,Psychic,PRESSURE,NONE,50,150,50,150,50,150
dewgong,Water,Ice,ICE_BODY,RAIN_DISH,95,70,85,95,95,95
dialga,Steel,Dragon,PRESSURE,NONE,100,120,120,150,100,90
diglett,Ground,Ground,SAND_VEIL,ARENA_TRAP,10,55,25,35,45,95
ditto,Normal,Normal,SHADOW_TAG,NONE,48,48,48,48,48,48
dodrio,Normal,Flying,SPEED_BOOST,NONE,60,110,70,60,60,110
doduo,Normal,Flying,SPEED_BOOST,NONE,35,85,45,35,35,75
donphan,Ground,Ground,STURDY,THICK_FAT,90,120,120,60,80,50
dragonair,Dragon,Water,SHED_SKIN,DRIZZLE,70,85,70,85,70,85
dragonite,Dragon,Flying,INNER_FOCUS,NONE,91,134,95,100,100,80
drapion,Poison,Dark,BATTLE_ARMOR,SNIPER,70,90,110,60,75,95
dratini,Dragon,Water,SHED_SKIN,DRIZZLE,41,64,45,50,50,50
drifblim,Ghost,Flying,AFTERMATH,UNBURDEN,150,80,44,90,54,80
drifloon,Ghost,Flying,AFTERMATH,UNBURDEN,90,50,34,60,44,70
drowzee,Psychic,Psychic,ADAPTABILITY,NONE,60,48,45,43,90,42
dugtrio,Ground,Ground,SAND_VEIL,ARENA_TRAP,40,105,50,50,70,120
dunsparce,Ground,Normal,SERENE_GRACE,NONE,100,75,100,75,75,45
dusclops,Ghost,Ghost,PRESSURE,IRON_FIST,40,70,130,60,130,25
dusknoir,Ghost,Dark,PRESSURE,IRON_FIST,50,100,135,60,135,45
duskull,Ghost,Ghost,LEVITATE,LEVITATE,20,40,90,30,90,25
dustox,Bug,Poison,SHIELD_DUST,NONE,60,50,70,50,90,65
eevee,Normal,Normal,ADAPTABILITY,ADAPTABILITY,55,55,50,45,65,55
egg,Normal,Normal,NONE,NONE,10,10,10,10,10,10
ekans,Poison,Poison,INTIMIDATE,SHED_SKIN,35,60,44,40,54,55
electabuzz,Electric,Fighting,IRON_FIST,NONE,65,83,57,95,85,105
electivire,Electric,Fighting,MOTOR_DRIVE,NONE,75,123,67,95,85,95
electrike,Electric,Electric,STATIC,LIGHTNING_ROD,40,45,40,65,40,65
electrode,Electric,Electric,SOUNDPROOF,STATIC,60,80,70,80,80,150
elekid,Electric,Electric,STATIC,NONE,45,63,37,65,55,95
empoleon,Water,Steel,CLEAR_BODY,NONE,85,85,90,115,100,60
entei,Fire,Fire,FLASH_FIRE,NONE,115,115,85,90,75,100
espeon,Psychic,Psychic,SYNCHRONIZE,SYNCHRONIZE,65,65,60,130,95,110
exeggcute,Grass,Psychic,CHLOROPHYLL,NONE,60,40,80,60,45,40
exeggutor,Grass,Psychic,CHLOROPHYLL,NONE,95,95,85,125,65,55
exploud,Normal,Normal,SOUNDPROOF,NONE,110,90,65,100,65,70
farfetchd,Fighting,Flying,SHARPNESS,NONE,55,90,55,60,65,75
fearow,Normal,Flying,SNIPER,NONE,65,100,65,60,60,100
feebas,Water,Water,SWIFT_SWIM,NONE,20,15,20,10,55,80
feraligatr,Water,Dark,INTIMIDATE,STRONG_JAW,85,105,100,80,85,80
finneon,Water,Water,CUTE_CHARM,STORM_DRAIN,49,49,56,49,61,66
flaaffy,Electric,Electric,STATIC,STATIC,70,55,55,80,60,45
flareon,Fire,Fire,GUTS,GUTS,80,130,60,60,85,110
floatzel,Water,Water,SWIFT_SWIM,NONE,85,115,55,85,50,115
flygon,Ground,Dragon,LEVITATE,LEVITATE,90,110,80,80,80,100
forretress,Bug,Steel,STURDY,NONE,75,90,140,60,60,40
froslass,Ice,Ghost,SNOW_CLOAK,SNOW_WARNING,75,85,75,115,75,110
furret,Normal,Normal,RUN_AWAY,KEEN_EYE,85,76,64,45,55,90
gabite,Dragon,Ground,MOLD_BREAKER,ROUGH_SKIN,68,90,65,50,55,82
gallade,Psychic,Fighting,SHARPNESS,SHARPNESS,68,125,65,65,115,80
garchomp,Dragon,Ground,MOLD_BREAKER,ROUGH_SKIN,108,130,95,80,85,102
gardevoir,Psychic,Fairy,SYNCHRONIZE,TRACE,68,65,65,125,115,80
gastly,Ghost,Poison,LEVITATE,NONE,30,35,30,100,35,80
gastrodon,Water,Ground,STICKY_HOLD,STORM_DRAIN,111,83,68,92,82,39
gengar,Ghost,Poison,LEVITATE,SHADOW_TAG,60,65,60,130,75,110
geodude,Rock,Ground,SOLID_ROCK,STURDY,40,80,100,30,30,20
gible,Dragon,Ground,MOLD_BREAKER,ROUGH_SKIN,58,70,45,40,45,42
girafarig,Normal,Psychic,INNER_FOCUS,INSOMNIA,120,90,70,110,70,30
giratina,Ghost,Dragon,PRESSURE,NONE,150,100,120,100,120,90
glaceon,Ice,Ice,SNOW_CLOAK,SNOW_WARNING,70,60,100,130,70,95
glalie,Ice,Rock,SOLID_ROCK,SKILL_LINK,100,115,100,35,100,85
glameow,Normal,Normal,LIMBER,OWN_TEMPO,49,55,42,42,37,85
gligar,Ground,Flying,SHED_SKIN,POISON_HEAL,65,75,105,35,65,85
gliscor,Ground,Flying,SHED_SKIN,POISON_HEAL,75,95,125,45,75,95
gloom,Grass,Poison,SHIELD_DUST,EFFECT_SPORE,60,65,70,85,75,40
golbat,Poison,Flying,INNER_FOCUS,NONE,75,80,70,65,75,90
goldeen,Water,Water,VITAL_SPIRIT,WATER_VEIL,45,67,60,35,50,63
golduck,Water,Psychic,CLOUD_NINE,NONE,80,80,80,95,80,85
golem,Rock,Ground,SOLID_ROCK,STURDY,80,115,130,55,70,45
gorebyss,Water,Fairy,SWIFT_SWIM,MARVEL_SCALE,60,85,105,115,75,60
granbull,Fairy,Fairy,INTIMIDATE,STRONG_JAW,90,120,75,60,60,45
graveler,Rock,Ground,SOLID_ROCK,STURDY,55,95,115,45,45,35
grimer,Poison,Ground,STICKY_HOLD,GLUTTONY,80,80,50,40,50,25
grotle,Grass,Ground,SHELL_ARMOR,NONE,75,89,85,55,65,36
groudon,Ground,Ground,DROUGHT,NONE,100,150,140,100,90,90
grovyle,Grass,Grass,UNBURDEN,NONE,50,65,45,85,65,95
growlithe,Fire,Fire,INTIMIDATE,NONE,55,70,45,70,50,60
grumpig,Psychic,Psychic,THICK_FAT,OWN_TEMPO,80,45,65,90,110,80
gulpin,Poison,Poison,LIQUID_OOZE,STICKY_HOLD,70,43,53,43,53,40
gyarados,Water,Flying,INTIMIDATE,NONE,95,125,79,60,100,81
happiny,Normal,Normal,NATURAL_CURE,SERENE_GRACE,100,5,5,15,65,30
hariyama,Fighting,Fighting,THICK_FAT,GUTS,150,120,60,40,60,50
haunter,Ghost,Poison,LEVITATE,NONE,45,50,45,115,55,95
heatran,Fire,Steel,FLASH_FIRE,NONE,91,90,106,130,106,77
heracross,Bug,Fighting,SKILL_LINK,GUTS,80,125,75,40,95,85
hippopotas,Ground,Ground,SAND_STREAM,SAND_STREAM,68,72,78,38,42,32
hippowdon,Ground,Ground,SAND_STREAM,STRONG_JAW,110,115,115,60,75,50
hitmonchan,Fighting,Fighting,IRON_FIST,NONE,50,105,79,35,110,76
hitmonlee,Fighting,Fighting,NO_GUARD,NONE,50,120,53,35,110,87
hitmontop,Fighting,Fighting,TECHNICIAN,NONE,50,95,95,35,110,70
ho_oh,Fire,Flying,PRESSURE,NONE,106,130,90,110,154,90
honchkrow,Dark,Flying,INSOMNIA,SUPER_LUCK,100,125,60,105,60,80
hoothoot,Psychic,Flying,INSOMNIA,KEEN_EYE,60,30,30,36,56,50
hoppip,Grass,Flying,UNBURDEN,NONE,45,35,40,50,55,80
horsea,Water,Water,SNIPER,NONE,30,40,70,70,25,60
houndoom,Dark,Fire,EARLY_BIRD,VITAL_SPIRIT,75,90,50,110,80,95
houndour,Dark,Fire,EARLY_BIRD,VITAL_SPIRIT,45,60,30,80,50,65
huntail,Water,Dark,SWIFT_SWIM,SWIFT_SWIM,60,115,105,85,75,60
hypno,Psychic,Psychic,ADAPTABILITY,NONE,85,80,70,80,115,70
igglybuff,Normal,Fairy,CUTE_CHARM,NONE,90,30,15,40,20,15
illumise,Bug,Bug,LEVITATE,TINTED_LENS,65,50,55,90,75,85
infernape,Fire,Fighting,IRON_FIST,NONE,76,104,71,104,71,109
ivysaur,Grass,Poison,OVERGROW,NONE,60,62,63,80,80,60
jigglypuff,Normal,Fairy,CUTE_CHARM,NONE,115,45,20,45,25,20
jirachi,Steel,Psychic,SERENE_GRACE,NONE,100,100,100,100,100,100
jolteon,Electric,Electric,STATIC,QUICK_FEET,65,65,60,110,95,130
jumpluff,Grass,Flying,UNBURDEN,NONE,85,50,70,90,85,110
jynx,Ice,Psychic,TRACE,DRY_SKIN,65,50,50,125,95,95
kabuto,Rock,Water,SWIFT_SWIM,BATTLE_ARMOR,30,80,90,55,45,55
kabutops,Rock,Water,SUPER_LUCK,BATTLE_ARMOR,60,115,105,65,70,80
kadabra,Psychic,Psychic,SYNCHRONIZE,INNER_FOCUS,40,35,30,120,70,105
kakuna,Bug,Poison,SHED_SKIN,NONE,45,25,50,25,25,35
kangaskhan,Normal,Normal,NORMALIZE,SCRAPPY,110,110,90,40,90,90
kecleon,Normal,Normal,COLOR_CHANGE,NONE,60,90,70,60,120,40
kingdra,Water,Dragon,SNIPER,NONE,75,95,95,95,95,85
kingler,Water,Water,MOLD_BREAKER,SHELL_ARMOR,55,130,115,50,50,75
kirlia,Psychic,Fairy,SYNCHRONIZE,TRACE,38,35,35,65,55,50
koffing,Poison,Poison,LEVITATE,NONE,40,65,95,60,45,35
krabby,Water,Water,MOLD_BREAKER,SHELL_ARMOR,30,105,90,25,25,50
kricketot,Bug,Bug,SHED_SKIN,SHED_SKIN,37,25,41,25,41,25
kricketune,Bug,Bug,TECHNICIAN,SHARPNESS,77,85,51,55,51,65
kyogre,Water,Water,DRIZZLE,NONE,100,100,90,150,140,90
lairon,Steel,Rock,STURDY,ROCK_HEAD,60,90,140,50,50,40
lanturn,Water,Electric,VOLT_ABSORB,WATER_ABSORB,125,58,58,76,76,67
lapras,Water,Ice,SHELL_ARMOR,SERENE_GRACE,130,85,80,85,95,60
larvitar,Rock,Ground,GUTS,NONE,50,64,50,45,50,41
latias,Dragon,Psychic,LEVITATE,NONE,80,80,90,110,130,110
latios,Dragon,Psychic,LEVITATE,NONE,80,90,80,130,110,110
leafeon,Grass,Grass,MAGIC_GUARD,CHLOROPHYLL,65,110,130,60,65,95
ledian,Bug,Flying,IRON_FIST,TECHNICIAN,55,85,50,55,110,85
ledyba,Bug,Flying,SWARM,EARLY_BIRD,40,20,30,40,80,55
lickilicky,Normal,Normal,OWN_TEMPO,OBLIVIOUS,120,85,95,80,95,50
lickitung,Normal,Normal,OWN_TEMPO,OBLIVIOUS,90,55,75,60,75,30
lileep,Rock,Grass,SUCTION_CUPS,NONE,66,41,77,61,87,23
linoone,Normal,Normal,QUICK_FEET,GLUTTONY,80,80,60,50,60,100
lombre,Water,Grass,SWIFT_SWIM,RAIN_DISH,60,50,50,60,70,50
lopunny,Normal,Fighting,CUTE_CHARM,SCRAPPY,70,105,85,55,100,105
lotad,Water,Grass,SWIFT_SWIM,RAIN_DISH,40,30,30,40,50,30
loudred,Normal,Normal,SOUNDPROOF,NONE,84,71,43,71,43,48
