
================================================================================
ROARK ENCOUNTERS (Level Cap 16)
================================================================================
  1. luxio           Lv16 | spark                | Power 9945.00 | Acc 100
  2. corphish        Lv16 | bubble_beam          | Power 9600.00 | Acc 100
  3. luxio           Lv16 | bite                 | Power 9180.00 | Acc 100
  4. turtwig         Lv16 | razor_leaf           | Power 8820.00 | Acc 100
  5. monferno        Lv16 | flame_wheel          | Power 8640.00 | Acc 100
  6. prinplup        Lv16 | bubble               | Power 7290.00 | Acc 100
  7. charmeleon      Lv16 | ember                | Power 7200.00 | Acc 100
  8. monferno        Lv16 | ember                | Power 7200.00 | Acc 100
  9. ivysaur         Lv16 | vine_whip            | Power 7020.00 | Acc 100
 10. ivysaur         Lv16 | take_down            | Power 7020.00 | Acc 100
 11. marshtomp       Lv16 | mud_shot             | Power 6480.00 | Acc 100
 12. wartortle       Lv16 | bubble               | Power 6300.00 | Acc 100
 13. corphish        Lv16 | bubble               | Power 6000.00 | Acc 100
 14. marshtomp       Lv16 | water_gun            | Power 5400.00 | Acc 100
 15. prinplup        Lv16 | metal_claw           | Power 5040.00 | Acc 100
 16. turtwig         Lv16 | bite                 | Power 5040.00 | Acc 100
 17. wartortle       Lv16 | bite                 | Power 4680.00 | Acc 100
 18. charmeleon      Lv16 | bite                 | Power 4608.00 | Acc 100

================================================================================
GARDENIA ENCOUNTERS (Level Cap 25)
================================================================================
  1. prinplup        Lv25 | bubble_beam          | Power 11664.00 | Acc 100
  2. grotle          Lv25 | razor_leaf           | Power 11340.00 | Acc 100
  3. mightyena       Lv25 | bite                 | Power 10800.00 | Acc 100
  4. mightyena       Lv25 | assurance            | Power 10800.00 | Acc 100
  5. grotle          Lv25 | bullet_seed          | Power 10125.00 | Acc 100
  6. ivysaur         Lv25 | magical_leaf         | Power 10080.00 | Acc   0
  7. luxio           Lv25 | spark                | Power 9945.00 | Acc 100
  8. grotle          Lv25 | bulldoze             | Power 9720.00 | Acc 100
  9. corphish        Lv25 | bubble_beam          | Power 9600.00 | Acc 100
 10. corphish        Lv25 | clamp                | Power 9600.00 | Acc 100
 11. prinplup        Lv25 | brine                | Power 9477.00 | Acc 100
 12. luxio           Lv25 | bite                 | Power 9180.00 | Acc 100
 13. luxio           Lv25 | take_down            | Power 9180.00 | Acc 100
 14. murkrow         Lv25 | wing_attack          | Power 9180.00 | Acc 100
 15. murkrow         Lv25 | assurance            | Power 9180.00 | Acc 100
 16. nuzleaf         Lv25 | razor_leaf           | Power 8820.00 | Acc 100
 17. monferno        Lv25 | flame_wheel          | Power 8640.00 | Acc 100
 18. mightyena       Lv25 | headbutt             | Power 8400.00 | Acc 100
 19. charmeleon      Lv25 | fire_fang            | Power 8064.00 | Acc 100
 20. houndour        Lv25 | fire_fang            | Power 7560.00 | Acc 100
